area1,place,time,area,rating,snippet
제주도, 우도,2020년 7월,"성남, 대한민국",3,예전에 갔던 기억으로 우도를 오랜만에 방문했는데 차도 많아졌고 너무 복잡해져버린 환경에 조금은 실망했음. 사람도 너무 많았고 음식점도 딱히 방문할 만한 곳도 마땅치 않았음.
제주도, 우도,2019년 4월,"서울, 대한민국",5,"날이 좋은 날 가니 바다빛이 동남아,하와이 휴양지 보다 더 예쁘더라구요. 하루 머무르면서 더 여유있게 둘러보고 싶단 생각이 드는 곳이었습니다.  전기차는 뒷좌석에 앉으니 풍광이 잘 보이지도 않고 바닥의 돌이 다 느껴지는 승차감ㅜ 돌아다니기 편하긴 한데, 타고 있으면 너무 불편한... 특이한 경험이었습니다."
제주도, 우도,2020년 2월,"대구, 대한민국",3,"3만원 주고 전기차 시간 무제한...이라고 하지만 마지막 배가 5시여서, 5시까지 빌려서 타고 다녔네요. 크게 특별한 볼거리는 없는 것 같고, 그냥 전기차를 타러 오는 느낌? 그렇다고 걸어서 다니기에는 엄청 큰 편이고, 전기차로 한 번 쉭 돌아보는 것에 큰 의미가 있나 싶기도 합니다."
제주도, 우도,2020년 2월,X,3,"주머니 사정이 넉넉하지 않다면 순환 버스를 6000원에 이용하면되고, 넉넉하면 스쿠터나 전기차를 대여하면된다. 가격은 25000원정도인데 현금 결제 유도한다. 딱 한바퀴 돌아보고 해변 두군데 보면 끝난다. 풍광은 멋있지만 물가는 제주도보다도 더 비싸다."
제주도, 우도,2019년 2월,"서울, 대한민국",4,"소가 누워 있는 모양이라고 하여 우도라는 이름이 붙은 섬입니다. 우도는 제주도에서도 배를 타고 들어가야 하기 때문에 많은 여행객이 방문을 망설입니다. 하지만 '우도8경'이라는 말이 괜히 있는 것이 아닙니다. 어딜가나 아름다운 풍경이 펼쳐지는 곳이 우도입니다. 우도를 여행할 때, 투어를 이용하면 우도에서 보낼 수 있는 시간이 제한적이기 때문에  개인적으로 찾아가는 편이 훨씬 좋습니다."
제주도, 우도,2019년 3월,"안산, 대한민국",5,여름철 우도 방문 꼭 추천합니다. 겨울철도 보기 좋습니다. 우도의 해변은 진짜 이쁩니다. 우도봉에서 바라보는 풍경도 진짜 이쁩니다. 검멀레해변에서 보트타는것도 한번쯤은 추천합니다
제주도, 우도,2019년 9월,X,2,"약간 비온다고 해서 별 생각없이 우도갔다가 갑자기 폭우가 내려서 제대로 보지도 못하고 돌아왔어요. 우도가 걷기에는 조금 넓은 지역이라 우도 내에서 미니 전동차(ATV같은 유형)를 빌려서(업체가 매우 많음) 그거를 타고 1시간에서 1시간 반 정도 둘러보는 시스템이 보편화되어 있는데 단시간에 워낙 많은 폭우가 내려서 곳곳에 물웅덩이가 생겼고, 물 웅덩이들을 지나갈 수밖에 없게 도로가 구성되어있다보니 그날 대부분의 전동차가 주행중 운행중지되어(하단에 물이 들어가면 고장이 나더라고요) 제대로 둘러보지도…"
제주도, 우도,2019년 12월,"부여, 대한민국",4,파도가심해서 무섭고 어지러웠지만  잠수함타고 구경하기전에는 조금은 무서웠으나 잠수함이 끝날때에는  약간 아쉬운면도있어어요
제주도, 우도,2019년 12월,"세종시, 대한민국",4,바닷가 침식 해안 절벽이 계속 진행되어  가는과정을 볼수있고  정상에는 등대가 더넓은 바다를 비추고 있어 바다와 성산일출봉을 볼수있는 정상뷰가  제일경
제주도, 우도,2019년 10월,"서울, 대한민국",4,"제주도의 부속섬으로 인기가 많은 관광지입니다. 전세계에 몇 곳 없는 홍조단괴해변이 있는 섬입니다. 우도에서는 검은 모래해변과 하얀 모래해변, 홍조단괴해변을 만날 수 있습니다."
제주도, 우도,2019년 10월,X,5,우도 두번 가봤는데 여름엔 넘 힘들었고 봄가을에 전기차타고 다니기 너무조아요! 전기차타고 한바퀴 돌면서 유유자적 돌아다니니까 넘 좋앗음
제주도, 우도,2019년 6월,X,5,제주도는 많이 가봤지만 30년 이상 살면서 우도는 처음 가보았는데 우리나라에 이런곳이 있었나하는 생각이 들정도로 하루 놀고오기 좋은 코스였습니다. 강추합니다.
제주도, 우도,2019년 10월,"거제, 대한민국",5,"전체 섬을 일주하면 시간이 얼마 걸리지도 않는 작은 섬입니다. 하지만, 잠시 멈추면 보이는 풍경도 예쁘고 제주도와는 분위기가 달라 참 좋네요. 산호가 죽어 부서져서 만들어진 해변, 더 작은 섬인 비양도도 예쁘고, 한라산 볶음밥, 땅콩 아이스크림 등 볼 것 먹을 것도 많은 곳입니다. 시간을 내어서 꼭 들어봐야 할 곳 입니다. 다만, 렌트카는 유아나 고령자를 동반하지 않으면 입도가 되지 않으니 참고하세요"
제주도, 우도,2019년 3월,"제주, 대한민국",5,하루 트래킹 코스로 아주 적당합니다.   우도 등대 가는 길이 경관이 좋습니다. 우도 특산물인 땅콩으로 만든 아이스크림도 별미입니다.
제주도, 우도,2019년 9월,"부산, 대한민국",5,자전거를 탈수있고 해변가도 있고 보트도 탈수있고 말도 탈수있는 하루안에 많은것을 할수 있는곳.다만 돌아오는 배시간 확인은 필수!
제주도, 우도,2019년 8월,X,5,연인 커플의 명소인가 봅니다. 어찌나 커플들이 전기자동차를 많이 타고 다니는지  깜짝 놀랐습니다. 최고의 교통시설이지 싶습니다. 번지점프도 하시고 땅콩아이스크림과 해물칼국수도 드세요
제주도, 우도,2019년 8월,"부산, 대한민국",5,저는 스테이 비젠빌리지에서 렌탈한 자전거를 타고 근처 종달항으로 가서 우도에 입도했습니다! 자전거를 타고 우도의 해변도로를 달리면 그 자체가 힐링이에요!!! 해산물도먹고 우도땅콩아이스크림도 즐겨보세요!
제주도, 우도,2019년 7월,"서울, 대한민국",3,배에서 내려서 어디로 이동하지 마시고 바로 무언가를 빌려서 이동하셔야 고생 안 하세요.  전 배에서 내린 후  우도봉까지 가까운 것 같아서 걸어 갔는데 완전 잘못된 생각... 게다가 천진항 쪽으로 되돌아 가는 버스는 잘 오지 않더군요. ㅜㅜ  줄은 너무 길고 버스는 오지 않고 해서 결국 천진항쪽까지 또 걸어 가서 전기차를 빌려 겨우 우도 한 바퀴를 돌고 왔네요.  안개가 낀 날이라 우도봉을 제대로 보진 못했고.. atv체험등 이것저것 체험하고 온다면 나쁘지 않아요. (물론 돈이 많이…
제주도, 우도,2018년 8월,X,2,10대 초반 혹은 그 이전에 갔던 우도는 조용한 도시였는데 20대가 되어 가보니 창렬도 이런 창렬이 없습니다   옛날 전도연씨였나 우도를 배경으로한 영화가 나온 이후에는 많이 변색된것같아 아쉬움이 많이 남는 곳입니다   한적하게 바람이나 쐰다면 좋은 곳이지만 왠만한 식당은 전부 비쌉니다
제주도, 우도,2019년 7월,"서울, 대한민국",3,어딜가도 경치가 좋습니다 한적하니 기분도좋고 공기도좋고 주변 카페들도 진짜 아기자기하니 좋네요 제주에서 살고싶단생각이 많이 들었습니다
제주도, 우도,2018년 8월,X,4,언제가도 좋은 우도~ 아쉬운건 사람이 많아진것. 식당이 많이 생겼는데 가격이 너무 비싸요. 스쿠터 빌려서 한바퀴 돌면 2시간이면 충분합니다.
제주도, 우도,2019년 5월,X,5,아이가 있든 없든 우도는 최고 같은 길에 버스. 승용차. 자전거. 오토바이가 한데 얽혀다니니... 그냥 버스관광을 추천(전혀 불편하지 않아요) 
제주도, 우도,2019년 4월,"제주, 대한민국",3,"우도는 자주가는편이라 갈때마다 느끼는것이지만 교통이불편하고 자전거와오토바이등..무질서한 통행으로 여러번 교통사고로 이어질뻔한 아찔한경험이있다. 그리고 많은음식점과 점포(아이스크림,편의점)에서도 제주에서보다 훨씬비싼요금으로 장사를하고있다. 맛이좋고 음식에 질이높다면 괜찮지만 별다른것도없이 우도안에서는 선택에폭이좁아 울며겨자먹기로 먹을수밖에없다. "
제주도, 우도,2019년 4월,"서울, 대한민국",2,"우도를 가기위해 선편을 구매하는과정에서 렌트카 열쇄를 분실해서 애를 태우던중  선사직원들이 여기저기 헤멘과정에 가까스로 열쇄를 찾아줘서 너무감사했던 부분하고,우도투어를 하는과정에서 네비게션이 잘되지않아 우도민께 목적지를 얘기하자 거긴 초행길엔  찾기가 어려울꺼라면 직접 탑승후 아래를 해주어 우도투어를 무사히 마친점에 대해 감사를 드리고 싶다"
제주도, 우도,2019년 4월,"서울, 대한민국",5,우리나라에 이런 해변이 있는지 몰랐어요~  사진이나 TV에서느 보던 광경이 우리나라에 있다는게 신기할 따름이네요~ 아이도 너무 좋아하네요
제주도, 우도,2018년 12월,X,5,바다가 아름다운 우도 배에서 내리면 부두에서 전동카 삐끼를 엄청합니다 가격은 비슷비슷합니다 여름성수기에는 여행하기 너무 더울것 같네요 한여름 피해서 갔는데도 너무 더웠습니다 해녀의집에서 해물한접시에 소주한잔이 최고 맛집이네요 ^^ 우도바다는 아름다웠고 다음에는 1박을하고 야경도 보고싶네요 우도에서 나가는 뱃시간이 정해져있기때문에 이쉬웠습니다
제주도, 우도,2018년 6월,"제주, 대한민국",4,우도항에 도착하자마자 우도 땅콩 아이스크림이 있어요. 거기서 아이스크림 먹고 차 타고 아이들과 함께 돌다보면 경치 구경돠 굿굿!! 그리고 비올 때 안가는게 제일 좋은것 같아요.
제주도, 우도,2019년 3월,"천안, 대한민국",5,"성산항에서 배로 15~20분이면 도착하는 정말 아름다운 섬 우도. 깨끗한 바다와 한적한 시골풍경을 모두 경험할 수 있습니다. 우도 선착장에서 전기오토바이와 작은 전기자동차를 대여할 수 있는고, 이 이동수단을 대여해서 섬 전체를 천천히 구경하면서 돌아보면 약 4시간이면 다 볼 수 있습니다. 그정도로 작은 섬이지만 요즘에는 관광객이 정말 많아서 예전처럼 조용하게 휴식을 취하면서 산책하는 것이 이제는 힘들 것 같습니다. 게다가 상업시설이 너무 많이 들어와서 우도 자체의 고즈넉한 풍경을 감상하는 것이…"
제주도, 우도,2018년 4월,"서귀포, 대한민국",2,자본주의의 산물처럼 상업화 된 건물과 깨끗한 바다경관이 극명하게 대조되는 쓸쓸한 섬처럼 느껴집니다. 다시 가보고 싶지는 않은.
제주도, 우도,2018년 5월,"부천, 대한민국",5,"우도 관광보트 1만원에 1시간 좀 안되게 타는거 있는데, 그거 진짜 제발 꼭 타주세요 ㅠㅠㅠ진짜 재밌고, 오토바이보다 자전거로 도는게 훨신 재밌는데, 섬 해안도로 자체가 경사가 심한 구간이 있어서 전기자전거 필수입니다. 마을안쪾으로 절대 들어가지마세요 길잃어요... 해안따라서 한 바퀴 돌면 기분 너무 좋습니다! :)"
제주도, 우도,2019년 2월,"광주, 대한민국",5,도 카트 타고돌고 돌문어라면 먹고 넘 좋았다가는도중시엄시엄차도 마시고사진도찍고 파전도먹고 가다가카트가 배더리가 떨어져서 교체하구 ..추억을 많이  만들었다^^♡
제주도, 우도,2019년 1월,"서울, 대한민국",2,2005년도에 온 경험이 있어 다시 방문하였는데 실질적으로 스쿠터나 ATV들에게 점령당한 곳 입니다. 그리고 우도 아이스크림이 맛있다고 해서 가봤는데 이마트에서 파는 노브랜드 과자 가지고 파는거 보고 다신 오지 않겠다고 마음 먹었습니다. (사실 그 아이스크림이 맛있긴 했습니다.) 그냥 우리가 생각하는 제주도보다 그냥 관광객을 보러 간다면 추천함. 그리고 섬 물가가 다들 그렇지만 육지 물가 생각하면 안됨. 그리고 사실 상 제주도의 모습은 많이 사라졌다고 볼 수 있음. 별로 추천하지 않음 차라리…
제주도, 우도,2018년 6월,"서울, 대한민국",5,제주도 갔으면 배타고 우도 한번 가봐야죠 느낌이지만 물도 더 맑은 것같고 공기도 더 좋은것 같아요 . 다음에는 우도봉 ATV 체험 꼭 해보려구여 ~ 
제주도, 우도,2019년 1월,X,4,우도 아이스크림이 유명하다고 해서 먹어봤는데 맛은 그냥 그랬어요 코스별로 돌다가 해녀집에 가서 소라랑 라면 먹었는데 맛은있지만 비싸요  바다는 예뻐요
제주도, 우도,2018년 10월,"인천, 대한민국",5,우도는 힐링중 힐링의 포인트. 우도 선착장에서 바로 보이는 해변엔 외국인들이 비치발리볼을 함. 스쿠터를 빌려서 우도를 한바퀴 돌면 이보다 더 좋을 수 없음. 숙박을 하면 차량을 가지고 갈 수 있으니 숙박을 하며 해지는 노을녁에 흑돼지를 궈먹는것도 추천함
제주도, 우도,2018년 8월,"평택, 대한민국",5,"하루코스는 잡아야 될듯합니다. 여유롭게 걸어다니며 사진도찍고 시원한 바람도 쐬고 맛있는거 먹고.. 우도가시면 꼭해봐야 할것 우도봉전경으로 사진찍기,우도 등대공원,산호해변,전기스쿠터타기(초보운전은 좀 위험해보여요ㅜㅜ),땅콩아이스크림먹기, 검멀레해변보트타기,사빈백사해변,비양도"
제주도, 우도,2019년 1월,"전주, 대한민국",5,"성산에서 배타고 오전 일찍 방문. 오전 이른 시간이라 그런지 사람들이 별로 없어 한적했습니다. 걸어서 충분히 돌아볼 수 있을 것도 같았는데, 어제 하루종일 걸음 후유증으로 선착장 바로 앞에서 전동스쿠터를 빌렸습니다. 편하게 돌아다니며 구경하다, 요즘 광고도 나오고 우도에서 가장 핫한 카페인 블랑로쉐 방문... 12시부터 영업한다고 하여 아쉬움을 뒤로하고 한바퀴 쭈욱 둘러본 뒤 12:20 방문... 사람들이 너무 많아요... 조용히 당일치기 여행하기 좋은 곳 같습니다."
제주도, 우도,2018년 12월,"천안, 대한민국",5,"우도 관광하려면 식사 포함하여 하루 일정으로 잡는게 좋다. 대여 바이크 시간에 쫒기다보면 일정 빡빡할수있으니, 가능하다면 무제한으로 대여하는게 좋음. 5천원 차이라..."
